Date & Time,companyName,previousOpen,dayLow,dayHigh,currentValue
03/Jun/2021 | 10:23:02,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:02,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:02,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:02,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:02,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:02,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:13,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:23,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:33,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:43,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:23:54,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:24:04,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
03/Jun/2021 | 10:57:17,RELIANCE INDUSTRIES LTD.,2222.00,2196.10,2250.00,2209.25
04/Jun/2021 | 05:45:59,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:46:10,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:46:20,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:46:30,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:46:41,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:46:51,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:47:01,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
04/Jun/2021 | 05:47:11,RELIANCE INDUSTRIES LTD.,2219.00,2188.55,2219.00,2191.00
04/Jun/2021 | 05:47:22,RELIANCE INDUSTRIES LTD.,2219.00,2190.85,2219.00,2191.00
